mode,year,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
1,1921,0.886896,0.418597333,260537.1667,0.231815133,0.344878059,0.20571,-17.04866667,0.073662,101.5314933,0.379326667,0.653333333,2
1,1922,0.938591549,0.482042254,165469.7465,0.237815352,0.43419487,0.240719718,-19.27528169,0.11665493,100.8845211,0.535549296,0.14084507,10
1,1923,0.957246791,0.577340541,177942.3622,0.262406486,0.371732725,0.227462162,-14.12921081,0.093948649,114.0107297,0.625492432,5.389189189,0
1,1924,0.94019986,0.549894068,191046.7076,0.34434661,0.581700914,0.235219068,-14.23134322,0.092089407,120.689572,0.663725424,0.661016949,10
1,1925,0.96260705,0.573863309,184986.9245,0.278593525,0.418297361,0.237667986,-14.14641367,0.111917986,115.5219209,0.621928777,2.604316547,5
1,1926,0.660817217,0.599880261,156881.6575,0.211467091,0.333093111,0.232369594,-18.49253846,0.483703628,109.6480327,0.436910457,1.422351234,9
1,1927,0.936179455,0.648268293,184993.5984,0.264321301,0.391328499,0.168450244,-14.42237398,0.113609593,114.8465236,0.659700488,0.801626016,7
1,1928,0.938616504,0.534287867,214827.9064,0.207947795,0.49483548,0.175289374,-17.19198255,0.159911499,106.7722617,0.495712688,1.525773196,1
1,1929,0.601426586,0.647669853,168999.4128,0.241800735,0.215204031,0.23600021,-16.53037605,0.490000735,110.9483571,0.636529832,0.340336134,7
1,1930,0.936714937,0.518175884,195150.2853,0.333523919,0.352205928,0.221310863,-12.86922141,0.119909667,109.8711944,0.61623763,0.926715177,2
1,1931,0.833039959,0.595221739,171553.4255,0.234496773,0.221419642,0.22742795,-16.5160942,0.453618944,109.0252816,0.513117081,0.170807453,0
1,1932,0.935770518,0.55779761,195749.3725,0.302067729,0.226356579,0.232496215,-13.36405578,0.139007371,115.1198008,0.58815996,2.151394422,7
1,1933,0.899897909,0.570290304,196219.2576,0.279899421,0.18394894,0.209071925,-13.06900868,0.091123155,112.522,0.599409986,6.89869754,7
1,1934,0.89114875,0.528705882,189356.1263,0.262131315,0.276382267,0.213452595,-14.75687543,0.10245692,115.390846,0.558804671,1.257785467,0
1,1935,0.77838556,0.55586917,220124.247,0.246366976,0.225873298,0.229299868,-15.41474967,0.353912385,110.6679565,0.5455778,1.501317523,7
1,1936,0.77231208,0.558005545,220809.1864,0.308388609,0.257109996,0.221438273,-14.61299909,0.279029364,109.8887545,0.564063545,5.080909091,10
1,1937,0.865435785,0.54215723,223216.5586,0.311048295,0.327087622,0.225967732,-13.11514307,0.085678843,115.2632222,0.585789498,3.328767123,7
1,1938,0.919280391,0.479977977,249177.0995,0.28098124,0.378424635,0.237111093,-14.29058238,0.095957259,111.6253279,0.514911109,2.096247961,0
1,1939,0.9087381,0.5126828,221602.065,0.2826715,0.277682469,0.2391016,-13.90057,0.1284627,113.174592,0.5599249,4.36,0
1,1940,0.84764405,0.52189235,182227.9445,0.310892895,0.3168487,0.2643351,-13.684048,0.24295765,108.4493345,0.61670947,0.93,7
1,1941,0.895737656,0.480481354,201904.575,0.265643198,0.444951639,0.201839896,-15.75553646,0.091365208,107.9151229,0.479456042,1.357291667,7
1,1942,0.85293437,0.464633888,222361.1683,0.256079471,0.392882048,0.212878419,-15.0290321,0.083678359,106.0083977,0.477408859,1.126634958,7
1,1943,0.902752319,0.455145634,240119.9099,0.279990042,0.409896923,0.239210704,-13.60212535,0.105719577,106.1967915,0.495454507,1.181690141,5
1,1944,0.907653191,0.500174468,245555.5864,0.253441449,0.449291965,0.238771941,-14.58205585,0.173283245,105.9639295,0.540695479,3.192819149,10
